G1
1.	 b  g:	0.2154326394
2.	 d  g:	0.2154326394
3.	 d  e:	0.0561759
4.	 d  d:	0.38742
5.	 f  g:	0.7
6.	 c  f:	0.062064684
7.	 b  c:	0.38742
8.	 c  d:	0.38742
9.	 a  b:	0.3254328
10.	 d  c:	0.38742
11.	 a  c:	0.3254328
12.	 b  d:	0.38742
13.	 e  f:	0.8
14.	 c  b:	0.38742
15.	 c  c:	0.38742
16.	 a  g:	0.15186
17.	 e  g:	0.56
18.	 b  e:	0.0561759
19.	 b  f:	0.062064684
20.	 c  e:	0.0561759
21.	 a  f:	0.14692
22.	 d  b:	0.38742
23.	 d  f:	0.062064684
24.	 b  b:	0.38742
25.	 a  e:	0.047187756
26.	 k  w:	0.2
27.	 c  g:	0.2154326394
28.	 a  d:	0.3254328
G2
1.	 a  e:	0.024
2.	 c  b:	0.0256
3.	 d  b:	0.0256
4.	 c  e:	0.0256
5.	 e  d:	0.0256
6.	 a  c:	0.024
7.	 b  e:	0.0256
8.	 c  d:	0.0256
9.	 a  d:	0.024
10.	 b  b:	0.0256
11.	 d  d:	0.0256
12.	 e  c:	0.0256
13.	 c  c:	0.0256
14.	 d  e:	0.0256
15.	 e  e:	0.0256
16.	 e  b:	0.0256
17.	 b  c:	0.0256
18.	 b  d:	0.0256
19.	 d  c:	0.0256
20.	 a  b:	0.024
G3
1.	 b  a:	0.39736
2.	 d  c:	0.44056
3.	 a  d:	0.44056
4.	 a  e:	0.39736
5.	 d  b:	0.44056
6.	 a  f:	0.3099408
7.	 c  a:	0.39736
8.	 a  a:	0.39736
9.	 d  f:	0.3436368
10.	 d  a:	0.39736
11.	 e  a:	0.39736
12.	 b  b:	0.44056
13.	 b  f:	0.3436368
14.	 a  c:	0.44056
15.	 c  e:	0.39736
16.	 d  e:	0.44056
17.	 c  b:	0.44056
18.	 a  b:	0.44056
19.	 c  d:	0.44056
20.	 e  c:	0.44056
21.	 e  d:	0.44056
22.	 d  d:	0.44056
23.	 b  e:	0.39736
24.	 b  d:	0.44056
25.	 c  f:	0.3436368
26.	 c  c:	0.44056
27.	 e  e:	0.39736
28.	 e  b:	0.44056
29.	 e  f:	0.3099408
